Angle(Degrees)	Distance(mm)
84			140.380753
86			58.660824
88			58.660824
90			58.660824
92			58.660824
94			58.660824
96			58.660824
98			58.660824
100			58.660824
102			58.660824
104			58.660824
106			58.660824
108			58.660824
110			58.660824
112			58.660824
114			58.660824
116			58.660824
118			58.660824
120			58.660824
122			58.660824
124			58.660824
126			58.660824
128			58.660824
130			58.660824
132			58.660824
134			58.660824
136			58.660824
138			58.660824
140			58.660824
142			58.660824
144			140.267029
146			62.192394
148			62.192394
150			62.192394
152			62.192394
154			62.192394
156			62.192394
158			62.192394
160			62.192394
162			62.192394
164			62.192394
166			62.192394
168			62.192394
170			62.192394
172			62.192394
174			140.656982
176			140.656982
178			140.656982
180			140.656982

Object#		Angle		Distance	Width
1		115		58.66		77.86
2		160		62.19		123.22
Smallest Object is #1
Angle(Degrees)	Distance(mm)
0			59.481422
2			59.481422
4			140.380753
6			140.380753
8			140.380753
10			140.380753
12			140.380753
14			140.380753
16			140.380753
18			140.380753
20			140.380753
22			140.380753
24			140.380753
26			140.380753
28			140.380753
30			140.380753
32			140.380753
34			140.380753
36			140.380753
38			140.380753
40			140.380753
42			140.380753
44			140.380753
46			140.380753
48			140.380753
50			140.380753
52			140.380753
54			140.380753
56			140.380753
58			140.380753
60			140.380753
62			140.380753
64			140.380753
66			140.380753
68			140.380753
70			140.380753
72			140.380753
74			140.380753
76			140.380753
78			140.380753
80			140.380753
82			140.380753
84			140.380753
86			58.660824
88			58.660824
90			58.660824
92			58.660824
94			58.660824
96			58.660824
98			58.660824
100			58.660824
102			58.660824
104			58.660824
106			58.660824
108			58.660824
110			58.660824
112			58.660824
114			58.660824
116			58.660824
118			58.660824
120			58.660824
122			58.660824
124			58.660824
126			58.660824
128			58.660824
130			58.660824
132			58.660824
134			58.660824
136			58.660824
138			58.660824
140			58.660824
142			58.660824
144			140.267029
146			62.192394
148			62.192394
150			62.192394
152			62.192394
154			62.192394
156			62.192394
158			62.192394
160			62.192394
162			62.192394
164			62.192394
166			62.192394
168			62.192394
170			62.192394
172			62.192394
174			140.656982
176			140.656982
178			140.656982
180			140.656982

Object#		Angle		Distance	Width
1		115		58.66		77.86
2		160		62.19		123.22
Smallest Object is #1
Angle(Degrees)	Distance(mm)
0			59.481422
2			59.481422
4			140.380753
6			140.380753
8			140.380753
10			140.380753
12			140.380753
14			140.380753
16			140.380753
18			140.380753
20			140.380753
22			140.380753
24			140.380753
26			140.380753
28			140.380753
30			140.380753
32			140.380753
34			140.380753
36			140.380753
38			140.380753
40			140.380753
42			140.380753
44			140.380753
46			140.380753
48			140.380753
50			140.380753
52			140.380753
54			140.380753
56			140.380753
58			140.380753
60			140.380753
62			140.380753
64			140.380753
66			140.380753
68			140.380753
70			140.380753
72			140.380753
74			140.380753
76			140.380753
78			140.380753
80			140.380753
82			140.380753
84			140.380753
86			58.660824
88			58.660824
90			58.660824
92			58.660824
94			58.660824
96			58.660824
98			58.660824
100			58.660824
102			58.660824
104			58.660824
106			58.660824
108			58.660824
110			58.660824
112			58.660824
114			58.660824
116			58.660824
118			58.660824
120			58.660824
122			58.660824
124			58.660824
126			58.660824
128			58.660824
130			58.660824
132			58.660824
134			58.660824
136			58.660824
138			58.660824
140			58.660824
142			58.660824
144			140.267029
146			62.192394
148			62.192394
150			62.192394
152			62.192394
154			62.192394
156			62.192394
158			62.192394
160			62.192394
162			62.192394
164			62.192394
166			62.192394
168			62.192394
170			62.192394
172			62.192394
174			140.656982
176			140.656982
178			140.656982
180			140.656982

Object#		Angle		Distance	Width
1		115		58.66		77.86
2		160		62.19		123.22
Smallest Object is #1
